ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,10,297,282,8,3,4,0,0
,11,559,529,23,5,0,2,0
,12,420,403,12,3,2,0,0
,13,450,422,25,1,1,1,0
,14,262,246,9,4,1,0,2
,15,438,384,47,3,2,0,2
,16,511,484,19,2,0,3,3
,17,280,238,36,0,2,0,4
,18,315,297,12,1,3,1,1
,19,468,433,20,6,3,2,4
,20,337,279,51,0,3,0,4
,21,338,322,15,0,0,0,1
,22,537,503,24,4,1,2,3
,23,407,387,16,1,2,1,0
,24,515,480,25,3,0,5,2
,25,310,286,19,4,0,0,1
,26,362,339,17,2,3,0,1
,27,242,227,12,0,0,2,1
,28,265,254,8,1,0,1,1
,29,507,483,22,2,0,0,0
,30,201,188,11,1,1,0,0
,31,537,503,28,2,2,2,0
,32,377,360,16,0,1,0,0
,33,264,244,16,2,1,1,0
,34,532,486,36,4,0,2,4
,35,339,316,11,6,2,4,0
,36,146,139,4,1,0,0,2
,37,124,117,5,1,1,0,0
,38,161,139,19,2,0,1,0
,39,39,37,2,0,0,0,0
21,1,442,426,14,2,0,0,0
,2,364,346,14,1,0,2,1
,3,431,409,16,3,3,0,0
,4,376,365,10,1,0,0,0
,5,427,418,7,0,0,0,2
,6,366,351,12,1,1,1,0
,7,403,386,15,2,0,0,0
,8,439,411,25,2,1,0,0
,9,414,405,8,0,0,0,1
,10,354,330,17,5,0,2,0
,11,387,375,9,1,0,1,1
,12,369,349,13,4,1,1,1
,13,422,396,18,7,0,0,1
,14,431,397,28,2,2,0,2
,15,367,359,7,0,0,0,1
,16,407,386,18,2,1,0,0
,17,362,342,16,3,1,0,0
,18,465,455,9,1,0,0,0
,19,438,422,9,4,1,0,2
,20,373,359,12,1,0,0,1
,21,341,324,11,1,2,0,3
,22,366,347,16,1,0,0,2
,23,367,359,6,1,1,0,0
,24,426,414,10,1,0,1,0
,25,349,338,9,2,0,0,0
,26,453,429,20,3,1,0,0
,27,421,398,17,3,1,0,2
,28,492,470,15,4,0,1,2
,29,436,421,13,1,1,0,0
,30,360,342,15,2,0,0,1
,31,308,295,10,1,0,1,1
,32,415,395,17,0,1,2,0
,33,352,337,9,2,1,0,3
,34,408,386,15,4,2,1,0
,35,487,468,16,1,1,0,1
,36,419,401,14,3,0,0,1
,37,294,284,5,4,0,1,0
,38,449,437,6,1,1,3,1
,39,380,367,9,0,3,0,1
,40,384,370,10,3,1,0,0
,41,415,399,14,0,2,0,0
,42,442,430,11,1,0,0,0
,43,403,386,13,2,0,0,2
,44,430,412,16,1,0,1,0
,45,393,381,9,2,0,0,1
,46,441,423,13,2,0,3,0
,47,384,366,15,3,0,0,0
,48,390,368,21,1,0,0,0
,49,439,420,17,2,0,0,0
,50,304,287,11,2,1,0,3
,51,404,385,15,3,0,0,1
,52,425,413,6,1,2,1,2
,53,350,329,17,3,1,0,0
,54,370,357,9,1,0,1,2
22,1,246,235,7,1,1,0,2
,2,524,341,178,4,0,0,1
,3,628,529,84,5,4,0,6
,4,367,320,37,3,2,0,5
,5,402,338,53,3,1,3,4
,6,416,354,57,2,1,1,1
,7,337,309,23,3,1,0,1
,8,589,455,131,1,0,1,1
,9,349,305,36,7,0,1,0
,10,562,472,76,4,7,0,3
,11,356,308,39,3,4,1,1
,12,366,267,89,6,1,0,3
,13,443,385,56,1,1,0,0
,14,331,292,33,3,2,0,1
,15,345,298,42,1,1,0,3
,16,345,300,42,2,0,0,1
,17,580,483,94,1,2,0,0
,18,353,305,40,2,4,1,1
,19,206,192,11,1,0,1,1
,20,413,359,47,1,3,1,2
,21,418,390,24,2,1,0,1
,22,415,338,61,1,5,6,4
,23,495,466,23,3,3,0,0
,24,489,417,56,4,5,1,6
,25,374,328,40,0,2,3,1
23,1,416,188,223,2,0,1,2
,2,454,229,215,4,2,0,4
,3,409,179,222,2,0,1,5
,4,484,258,219,1,1,2,3
,5,433,361,62,8,1,0,1
,6,456,331,119,2,0,0,4
,7,375,292,71,2,6,0,4
,8,516,325,180,3,0,0,8
,9,391,332,52,0,5,1,1
,10,446,341,101,1,2,0,1
,11,467,391,67,3,1,1,4
,12,456,168,279,1,0,2,6
,13,384,323,58,0,2,1,0
,14,417,194,219,1,0,0,3
,15,377,312,53,6,2,2,2
,16,433,198,232,2,0,0,1
,17,340,280,52,1,6,1,0
,18,408,195,211,0,0,0,2
,19,351,299,51,0,1,0,0
,20,288,231,54,0,2,0,1
,21,434,188,240,1,0,0,5
,22,446,248,192,4,0,1,1
,23,417,230,181,1,0,1,4
,24,363,292,68,1,1,0,1
,25,371,267,99,4,0,1,0
,26,389,275,109,4,1,0,0
,27,410,186,218,2,0,0,4
,28,495,246,243,1,2,0,3
,29,364,211,149,3,1,0,0
,30,505,373,123,3,3,0,3
,31,381,304,70,3,1,0,3
,32,384,327,55,1,0,0,1
,33,464,383,71,3,2,0,5
,34,469,389,76,3,0,0,1
,35,348,171,170,3,1,0,3
,36,418,183,231,0,1,1,2
,37,460,208,249,1,0,0,2
,38,386,214,171,1,0,0,0
,39,433,364,66,1,1,0,1
24,1,345,330,13,1,1,0,0
,2,398,381,12,2,2,1,0
,3,469,445,19,0,1,1,3
,4,332,319,10,1,1,0,1
,5,224,211,9,2,1,1,0
,6,391,375,10,4,0,1,1
,7,280,256,17,2,3,1,1
,8,188,172,14,0,1,1,0
,9,383,363,15,1,1,2,1
,10,186,180,4,1,0,0,1
,11,465,442,21,0,1,0,1
,12,251,237,12,0,0,1,1
,13,213,195,11,2,4,0,1
,14,373,358,12,2,1,0,0
,15,214,203,11,0,0,0,0
,16,1132,788,307,7,14,2,14
,17,301,287,10,0,3,1,0
,18,406,388,14,2,2,0,0
,19,455,436,15,1,2,0,1
,20,337,313,17,5,0,1,1
,21,210,194,11,2,2,0,1
,22,483,451,23,1,4,1,3
,23,345,319,22,3,1,0,0
,24,448,421,19,4,3,0,1
,25,313,294,13,5,0,0,1
,26,580,551,25,2,2,0,0
,27,393,379,10,4,0,0,0
,28,247,232,12,2,0,1,0
,29,293,278,7,6,0,2,0
,30,241,228,11,1,1,0,0
,31,438,409,17,3,3,3,3
,32,207,197,5,2,0,1,2
,33,251,240,8,3,0,0,0
,34,400,381,13,3,0,1,2
,35,407,378,22,3,2,2,0
,36,447,415,22,3,0,3,4
,37,220,211,6,2,0,1,0
,38,291,278,10,1,0,2,0
,39,391,357,32,1,0,1,0
,40,457,431,21,4,1,0,0
,41,281,267,13,1,0,0,0
25,1,466,413,48,1,1,1,2
,2,672,607,50,9,2,1,3
,3,1067,875,175,4,0,2,11
,4,456,398,52,0,3,0,3
,5,609,518,76,6,6,0,3
,6,237,165,72,0,0,0,0
,7,596,532,51,3,5,2,3
,8,660,599,47,6,3,2,3
,9,580,522,41,6,2,1,8
,10,872,729,134,2,0,1,6
,11,592,511,64,7,6,1,3
,12,541,464,65,3,5,2,2
,13,685,615,51,3,9,3,4
,14,463,363,90,3,0,5,2
,15,517,429,76,4,4,0,4
,16,1065,815,230,3,2,0,15
,17,609,537,57,5,4,0,6
,18,454,310,135,5,1,1,2
,19,609,544,56,5,2,1,1
,20,371,349,18,2,1,1,0
,21,1125,970,124,10,3,0,18
,22,573,524,33,6,3,0,7
,23,644,578,51,6,4,0,5
,24,591,535,40,7,3,1,5
,25,527,378,136,5,2,0,6
,26,550,483,60,3,2,0,2
,27,782,634,128,4,0,1,15
,28,610,538,54,10,2,2,4
,29,465,423,37,1,4,0,0
,30,569,481,69,10,4,0,5
,31,1224,970,227,5,0,2,20
,32,541,420,110,1,4,1,5
26,1,474,411,48,3,4,1,7
,2,385,319,59,1,4,0,2
,3,550,459,75,6,2,0,8
,4,344,282,57,1,1,2,1
,5,388,351,29,1,3,0,4
,6,390,331,52,6,1,0,0
,7,402,361,35,6,0,0,0
,8,287,237,39,5,3,1,2
,9,380,325,45,5,2,1,2
,10,436,381,48,2,2,0,3
,11,437,349,80,3,2,1,2
,12,458,393,52,9,4,0,0
,13,284,224,50,5,3,1,1
,14,359,310,41,4,2,1,1
,15,315,246,59,4,5,1,0
,16,258,196,57,2,2,0,1
,17,408,304,102,0,1,0,1
,18,330,271,53,0,0,2,4
,19,283,248,31,3,0,0,1
,20,416,361,45,1,3,1,5
,21,508,455,45,2,3,0,3
,22,270,227,42,0,1,0,0
,23,333,293,33,4,0,0,3
,24,353,305,43,2,1,1,1
,25,364,324,33,3,1,1,2
,26,311,274,27,4,1,4,1
,27,500,426,62,3,3,0,6
,28,561,474,78,1,3,0,5
,29,245,206,37,0,0,1,1
,30,358,322,24,3,5,0,4
,31,218,175,38,2,0,0,3
,32,536,452,70,2,1,3,8
,33,506,453,44,5,0,0,4
,34,473,407,57,4,0,1,4
,35,395,337,44,7,5,0,2
,36,458,384,68,2,1,1,2
,37,465,406,52,2,3,1,1
,38,251,205,43,0,1,1,1
,39,536,451,72,4,1,4,4
,40,305,250,45,3,3,0,4
,41,477,414,53,6,2,2,0
,42,360,320,32,3,1,1,3
,43,290,251,31,3,3,0,2
,44,247,210,33,1,3,0,0
,45,233,193,38,1,0,0,1
,46,355,246,104,2,1,0,2
,47,344,288,50,1,1,0,4
,48,460,415,34,5,1,0,5
,49,304,252,49,2,1,0,0
27,1,1258,1028,205,5,0,0,20
,2,596,501,81,7,0,0,7
,3,277,256,18,2,0,1,0
,4,278,252,19,2,2,0,3
,5,421,385,36,0,0,0,0
,6,658,543,104,1,1,1,8
,7,770,687,71,4,0,0,8
,8,392,353,37,0,0,0,2
,9,300,229,66,0,0,0,5
,10,460,431,23,2,2,0,2
,11,693,561,117,3,0,0,12
,12,477,394,79,0,0,0,4
,13,709,653,47,2,1,0,6
,14,239,221,13,1,1,1,2
,15,280,262,13,1,3,0,1
,16,659,521,119,2,0,4,13
,17,525,464,56,3,0,0,2
,18,358,319,31,3,2,2,1
,19,261,221,30,1,4,2,3
,20,398,381,12,5,0,0,0
,21,564,456,100,3,0,0,5
,22,249,228,19,0,0,0,2
,23,359,332,22,2,1,0,2
,24,340,313,24,0,1,0,2
,25,489,439,43,3,0,1,3
,26,333,305,23,2,1,0,2
,27,647,594,41,4,3,1,4
,28,781,585,172,2,0,2,20
,29,318,276,37,3,1,1,0
,30,241,225,15,0,0,1,0
,31,379,347,27,3,0,2,0
,32,470,420,41,6,0,0,3
,33,762,655,95,5,0,0,7
,34,347,335,10,0,0,1,1
,35,694,573,106,5,0,0,10
,36,354,322,21,3,2,2,4
,37,621,523,85,2,0,2,9
,38,736,592,128,2,2,3,9
,39,346,323,23,0,0,0,0
,40,789,623,146,7,1,0,12
,41,413,393,17,0,0,1,2
,42,389,322,61,0,0,0,6
,43,386,355,22,6,0,2,1
,44,356,330,22,2,0,1,1
,45,1645,1363,260,3,0,1,18
,46,499,386,106,3,0,0,4
,47,362,319,32,6,1,3,1
,48,1091,922,148,8,4,4,5
,49,347,325,16,3,3,0,0
,50,477,452,17,2,1,1,4
28,1,301,279,17,2,0,2,1
,2,372,340,28,3,0,1,0
,3,300,284,14,1,0,0,1
,4,430,355,68,1,1,0,5
,5,270,252,18,0,0,0,0
,6,226,192,31,3,0,0,0
,7,403,385,15,2,0,1,0
,8,636,544,84,2,1,1,4
,9,386,361,18,3,1,2,1
,10,568,485,73,5,0,0,5
,11,896,786,90,8,4,0,8
,12,362,347,10,2,1,1,1
,13,489,459,25,2,1,0,2
,14,383,368,10,1,0,2,2
,15,77,74,1,1,0,1,0
,16,253,239,10,2,0,1,1
,17,329,314,12,2,1,0,0
,18,330,312,15,1,1,1,0
,19,346,298,45,2,0,0,1
,20,327,308,15,1,1,0,2
,21,305,294,9,1,0,0,1
,22,374,351,16,4,0,1,2
,23,503,469,23,6,2,1,2
,24,343,308,31,3,0,0,1
,25,565,527,31,3,3,0,1
,26,392,376,13,1,0,0,2
,27,454,318,116,6,0,6,8
,28,549,422,117,1,0,1,8
,29,216,196,16,1,1,1,1
,30,54,52,2,0,0,0,0
,31,479,445,24,3,3,4,0
,32,373,357,12,2,2,0,0
,33,415,397,17,1,0,0,0
,34,683,635,39,3,1,1,4
,35,464,440,22,0,0,1,1
,36,216,204,9,1,0,0,2
,37,449,430,16,1,1,1,0
,38,144,131,10,1,0,1,1
,39,297,277,17,1,1,1,0
,40,490,471,15,2,0,0,2
,41,263,252,10,0,1,0,0
,42,407,382,16,4,2,0,3
,43,506,491,11,1,2,1,0
,44,299,285,12,2,0,0,0
,45,643,523,99,5,0,1,15
,46,763,621,124,10,1,0,7
29,1,668,542,117,1,0,2,6
,2,612,582,22,4,1,2,1
,3,517,491,20,3,1,1,1
,4,574,532,35,2,2,2,1
,5,386,355,28,1,0,2,0
,6,379,367,11,1,0,0,0
,7,498,438,54,4,1,0,1
,8,443,408,22,6,2,1,4
,9,537,402,125,5,1,0,4
,10,623,506,108,4,1,0,4
,11,273,257,12,2,0,2,0
,12,566,527,33,2,2,0,2
,13,496,469,22,2,1,2,0
,14,428,413,11,1,0,1,2
,15,513,487,22,2,1,1,0
,16,458,440,15,3,0,0,0
,17,444,421,14,7,1,1,0
,18,461,443,12,2,1,1,2
,19,475,448,20,3,1,1,2
,20,480,458,15,4,1,0,2
,21,657,621,26,3,5,1,1
,22,423,381,38,1,2,0,1
,23,600,417,176,2,1,0,4
,24,460,434,18,3,4,1,0
,25,534,513,17,2,0,0,2
,26,441,412,22,2,1,2,2
,27,429,414,12,1,1,0,1
,28,589,566,13,7,2,0,1
,29,635,392,236,7,0,0,0
,30,675,559,111,0,1,0,4
,31,598,311,279,0,0,1,7
,32,603,338,253,4,2,1,5
,33,345,331,13,0,1,0,0
,34,369,330,37,0,0,0,2
,35,362,348,10,1,2,0,1
,36,392,369,22,1,0,0,0
,37,442,405,29,2,1,5,0
,38,621,447,164,7,1,1,1
,39,614,395,210,5,0,1,3
,40,532,505,16,6,3,1,1
,41,399,368,22,5,1,1,2
,42,535,511,18,4,0,0,2
,43,594,524,61,5,1,0,3
,44,618,577,36,0,2,2,1
30,1,624,481,132,2,4,1,4
,2,615,425,184,1,2,2,1
,3,430,361,60,2,3,0,4
,4,572,397,163,2,2,3,5
,5,438,344,92,1,1,0,0
,6,462,359,102,0,0,0,1
,7,595,469,116,2,1,4,3
,8,657,534,108,6,5,1,3
,9,506,362,136,4,2,0,2
,10,612,462,140,3,0,1,6
,11,542,445,89,4,2,1,1
,12,512,393,111,2,2,0,4
,13,543,388,148,2,0,0,5
,14,430,330,97,2,0,1,0
,15,483,396,77,5,1,0,4
,16,338,247,88,1,0,0,2
,17,588,427,151,3,0,0,7
,18,666,584,71,3,2,0,6
,19,576,466,104,2,3,0,1
,20,615,483,124,4,0,0,4
,21,426,278,144,0,2,0,2
,22,790,669,97,9,3,3,9
,23,681,549,111,10,3,0,8
,24,805,674,117,4,2,1,7
,25,810,667,122,9,4,1,7
,26,355,276,74,2,1,0,2
,27,415,311,102,0,1,0,1
,28,551,479,63,3,3,0,3
,29,402,318,73,2,2,4,3
,30,239,196,41,2,0,0,0
,31,359,283,74,1,0,0,1
,32,450,388,58,1,1,0,2
31,1,352,281,65,2,0,0,4
,2,331,278,51,0,0,0,2
,3,384,276,100,5,0,1,2
,4,465,414,42,3,3,1,2
,5,379,294,75,3,2,1,4
,6,263,212,46,0,0,3,2
,7,539,486,45,3,0,0,5
,8,334,271,58,3,1,1,0
,9,420,344,71,3,1,0,1
,10,432,370,59,0,0,1,2
,11,334,256,74,4,0,0,0
,12,336,239,90,2,0,2,3
,13,402,326,68,2,3,2,1
,14,375,291,83,0,1,0,0
,15,397,298,97,1,0,0,1
,16,438,388,42,2,1,0,5
,17,371,281,80,2,6,0,2
,18,363,294,62,2,1,4,0
,19,357,266,86,1,3,0,1
,20,340,261,75,0,2,1,1
,21,334,250,80,1,3,0,0
,22,323,274,44,2,0,0,3
,23,388,316,64,2,3,1,2
,24,409,329,73,1,1,1,4
,25,373,285,82,1,2,1,2
,26,403,307,90,2,3,0,1
,27,445,333,103,3,1,2,3
,28,332,257,71,2,2,0,0
,29,353,277,72,0,2,0,2
,30,308,256,48,0,1,0,3
,31,347,258,86,0,0,0,3
,32,318,249,65,3,0,1,0
,33,383,295,81,6,1,0,0
,34,399,299,91,6,1,0,2
,35,457,365,85,5,2,0,0
,36,401,316,80,3,0,1,1
,37,366,304,58,3,0,0,1
,38,338,277,55,6,0,0,0
,39,423,364,49,2,5,1,2
,40,418,355,47,5,6,0,5
,41,362,297,61,0,2,0,2
32,1,850,704,128,5,2,0,11
,2,747,643,88,1,0,1,14
,3,671,597,59,5,2,3,5
,4,619,548,64,1,1,0,5
,5,694,614,67,3,3,0,7
,6,791,713,63,3,0,0,12
,7,777,670,87,4,1,0,15
,8,872,710,140,1,1,3,17
,9,700,595,88,3,1,2,11
,10,815,647,142,6,1,1,18
,11,576,532,35,2,3,0,4
,12,454,407,31,7,6,2,1
,13,816,649,145,2,1,3,16
,14,682,620,49,3,4,2,4
,15,666,544,106,3,3,1,9
,16,655,568,78,2,1,1,5
,17,618,555,43,4,6,0,10
,18,688,561,116,3,1,0,7
,19,632,545,70,4,1,0,12
,20,611,558,40,10,1,1,1
,21,675,585,74,2,2,1,11
,22,745,677,50,3,6,1,8
,23,707,608,86,1,1,0,11
,24,621,472,137,3,0,0,9
,25,648,555,85,3,0,0,5
,26,657,591,54,3,5,0,4
,27,777,592,165,1,0,3,16
,28,609,555,47,1,1,0,5
,29,702,619,77,2,1,1,2
,30,714,587,117,5,0,0,5
,31,743,604,120,1,3,0,15
,32,780,687,79,3,0,0,11
,33,675,554,109,4,0,0,8
,34,754,661,76,2,0,0,15
,35,699,572,114,1,2,1,9
,36,771,669,89,1,1,0,11
,37,825,691,117,5,0,0,12
,38,730,599,112,5,1,0,13
,39,837,672,153,1,0,1,10
,40,705,598,94,2,0,0,11
,41,754,623,112,2,0,2,15
,42,698,567,116,0,1,0,14
,43,590,525,49,4,1,0,11
33,1,722,629,81,1,6,1,4
,2,981,782,179,9,2,5,4
,3,944,816,103,8,4,1,12
,4,940,785,133,9,7,0,6
,5,688,577,99,5,1,0,6
,6,614,531,72,4,1,0,6
,7,748,631,106,6,3,0,2
,8,858,763,76,10,4,0,5
,9,788,645,128,8,2,1,4
,10,624,517,96,5,2,1,3
,11,710,579,111,8,5,0,7
,12,708,580,107,6,4,0,11
,13,639,550,80,2,3,1,3
,14,338,294,39,3,0,0,2
,15,704,604,83,7,3,2,5
,16,973,789,171,4,3,0,6
,17,726,595,113,6,0,3,9
,18,995,850,117,11,6,2,9
,19,834,700,122,7,2,0,3
,20,862,752,96,6,3,2,3
,21,715,635,71,4,3,0,2
,22,644,517,121,4,0,0,2
,23,775,668,95,8,2,1,1
,24,826,726,80,7,0,1,12
,25,846,704,124,8,6,1,3
,26,533,471,53,4,2,0,3
,27,842,688,137,11,0,2,4
,28,628,563,53,3,4,0,5
34,1,463,452,10,0,1,0,0
,2,373,349,14,6,1,2,1
,3,448,426,15,2,3,0,2
,4,327,314,13,0,0,0,0
,5,398,382,11,1,1,1,2
,6,494,464,23,4,0,0,3
,7,469,449,8,2,3,1,6
,8,376,366,8,2,0,0,0
,9,303,282,19,1,0,0,1
,10,433,409,20,2,1,0,1
,11,374,347,19,3,3,2,0
,12,459,443,13,2,1,0,0
,13,426,408,15,2,0,0,1
,14,361,348,10,1,0,2,0
,15,407,389,13,2,0,1,2
,16,393,375,15,1,0,1,1
,17,546,517,21,7,1,0,0
,18,315,300,12,1,1,0,1
,19,490,466,22,1,1,0,0
,20,483,467,14,2,0,0,0
,21,497,486,10,0,0,0,1
,22,435,415,15,4,0,0,1
,23,360,348,12,0,0,0,0
,24,377,359,13,3,0,1,1
,25,665,647,14,1,2,1,0
,26,487,472,10,3,2,0,0
,27,361,344,14,1,0,1,1
,28,282,269,10,2,0,0,1
,29,364,353,9,1,0,1,0
,30,406,385,17,3,1,0,0
,31,355,338,14,0,1,2,0
,32,433,416,15,1,1,0,0
,33,367,350,14,3,0,0,0
,34,483,469,10,3,1,0,0
,35,538,509,24,3,1,0,1
,36,371,359,10,2,0,0,0
,37,246,231,12,2,1,0,0
,38,221,204,12,1,2,0,2
,39,332,311,17,2,1,0,1
,40,492,473,15,2,1,0,1
,41,274,261,10,2,0,0,1
,42,420,409,6,3,0,0,2
,43,379,364,11,1,0,0,3
,44,420,404,11,4,0,1,0
,45,437,417,17,2,1,0,0
,46,303,294,8,0,0,0,1
,47,398,388,8,1,0,1,0
,48,434,417,10,5,0,2,0
,49,405,387,11,4,2,0,1
,50,356,342,12,2,0,0,0
,51,462,433,18,8,0,0,3
,52,317,303,11,2,0,0,1
,53,295,274,13,4,1,1,2
35,1,632,539,75,12,0,0,6
,2,605,526,71,4,0,0,4
,3,537,457,71,3,1,0,5
,4,577,471,91,4,1,0,10
,5,532,463,61,1,3,0,4
,6,609,536,57,8,1,0,7
,7,602,551,44,3,1,1,2
,8,601,517,68,7,4,1,4
,9,616,477,131,5,1,1,1
,10,664,609,41,9,4,0,1
,11,690,589,85,4,4,1,7
,12,449,359,75,4,3,0,8
,13,467,386,73,3,2,0,3
,14,498,418,71,2,4,0,3
,15,690,598,67,9,8,1,7
,16,352,294,52,5,1,0,0
,17,615,550,57,2,2,0,4
,18,407,329,75,1,2,0,0
,19,408,333,70,2,3,0,0
,20,623,521,83,5,6,2,6
,21,602,536,55,4,3,0,4
,22,707,603,86,6,7,3,2
,23,615,507,90,8,5,0,5
,24,546,474,56,5,5,0,6
,25,590,512,60,6,3,3,6
,26,501,417,76,2,2,1,3
,27,552,464,71,3,6,1,7
,28,574,502,57,6,2,1,6
,29,603,469,121,2,4,2,5
,30,591,480,101,4,1,0,5
,31,640,524,98,6,3,2,7
36,1,494,374,112,4,1,0,3
,2,520,415,97,6,1,0,1
,3,453,349,99,1,2,1,1
,4,539,433,102,2,1,0,1
,5,447,371,70,4,1,1,0
,6,478,368,106,1,2,0,1
,7,612,352,254,1,0,0,5
,8,416,343,68,4,0,0,1
,9,498,403,87,1,2,2,3
,10,662,481,173,3,0,1,4
,11,373,299,68,5,0,0,1
,12,372,295,72,2,3,0,0
,13,385,320,63,1,0,0,1
,14,572,423,143,0,2,0,4
,15,560,371,185,0,1,0,3
,16,522,384,132,2,1,0,3
,17,639,445,187,2,0,0,5
,18,583,397,179,3,0,1,3
,19,650,495,145,7,1,0,2
,20,607,426,176,3,1,0,1
,21,482,378,96,6,1,0,1
,22,452,358,92,1,0,0,1
,23,472,368,92,4,4,1,3
,24,643,431,199,2,5,0,6
,25,538,437,97,1,0,1,2
,26,543,313,224,4,2,0,0
,27,486,362,116,5,1,0,2
,28,559,350,203,1,1,2,2
,29,578,383,191,1,0,1,2
,30,527,377,143,3,0,0,4
37,1,373,343,27,0,2,0,1
,2,365,335,26,2,1,0,1
,3,313,301,9,3,0,0,0
,4,356,319,33,0,0,3,1
,5,449,425,23,0,0,1,0
,6,449,423,20,1,3,2,0
,7,354,313,36,1,2,0,2
,8,326,293,29,0,3,0,1
,9,455,432,18,2,1,0,2
,10,530,484,43,2,0,0,1
,11,290,275,8,2,1,2,2
,12,401,365,32,0,0,3,1
,13,318,294,19,3,0,1,1
,14,459,435,20,1,1,1,1
,15,438,406,26,4,0,2,0
,16,493,460,24,5,1,1,2
,17,317,300,14,1,1,0,1
,18,383,358,22,2,1,0,0
,19,323,303,20,0,0,0,0
,20,389,361,25,1,0,2,0
,21,398,360,30,1,3,0,4
,22,417,371,41,3,2,0,0
,23,413,393,20,0,0,0,0
,24,447,417,26,4,0,0,0
,25,380,349,25,2,2,0,2
,26,571,508,55,3,3,1,1
,27,402,376,22,3,0,0,1
,28,388,353,31,2,1,0,1
,29,419,391,25,2,1,0,0
,30,415,392,19,2,1,0,1
,31,491,460,28,2,1,0,0
,32,379,355,22,0,2,0,0
,33,477,446,26,4,0,1,0
,34,380,360,15,1,2,1,1
,35,409,391,14,1,0,0,3
,36,409,386,20,1,1,1,0
,37,473,438,28,4,2,1,0
,38,457,425,28,2,1,0,1
,39,406,382,21,2,1,0,0
,40,452,430,20,2,0,0,0
,41,459,425,27,4,2,1,0
38,1,502,362,120,6,2,5,7
,2,613,207,401,3,0,0,2
,3,609,324,279,4,0,0,2
,4,572,298,261,3,2,4,4
,5,604,336,260,4,1,0,3
,6,608,314,290,2,0,0,2
,7,560,269,282,2,2,0,5
,8,559,320,237,0,0,0,2
,9,653,321,321,6,0,1,4
,10,507,304,197,2,0,0,4
,11,510,322,179,1,0,1,7
,12,601,230,363,2,0,1,5
,13,643,343,293,1,2,1,3
,14,618,392,210,3,1,1,11
,15,541,353,172,4,2,0,10
,16,576,327,241,4,0,0,4
,17,693,314,367,5,1,1,5
,18,621,368,240,4,1,2,6
,19,659,385,263,5,0,1,5
,20,591,260,326,4,1,0,0
,21,548,366,173,1,1,1,6
,22,510,352,150,2,2,2,2
,23,577,381,184,6,0,1,5
,24,613,309,297,4,0,0,3
,25,535,314,208,6,0,1,6
,26,614,349,253,2,2,1,7
,27,602,317,278,5,0,0,2
,28,704,334,362,3,0,0,5
,29,609,360,242,4,1,0,2
,30,590,281,303,1,0,0,5
,31,555,393,144,5,0,5,8
,32,558,363,185,4,1,0,5
,33,560,377,176,2,1,1,3
,34,550,394,148,3,1,1,3
,35,555,419,125,1,1,2,7
,36,545,358,174,6,0,1,6
,37,576,378,187,4,0,0,7
,38,582,326,243,11,1,0,1
,39,604,424,173,2,1,1,3
,40,552,376,168,2,0,1,5
,41,497,396,93,0,4,1,3
39,1,570,360,196,7,0,1,6
,2,551,313,231,2,1,1,3
,3,599,484,105,2,2,0,6
,4,554,347,196,3,0,3,5
,5,586,425,154,3,0,1,3
,6,574,435,131,3,4,0,1
,7,515,390,117,2,1,0,5
,8,622,457,159,2,1,0,3
,9,539,386,143,4,0,2,4
,10,262,219,41,2,0,0,0
,11,535,364,156,7,0,0,8
,12,758,614,123,10,2,3,6
,13,539,377,154,4,2,0,2
,14,569,430,128,3,2,0,6
,15,695,388,298,2,0,0,7
,16,574,425,136,2,2,3,6
,17,587,425,160,0,0,1,1
,18,564,411,149,1,1,0,2
,19,557,414,128,3,1,1,10
,20,717,402,304,6,0,1,4
,21,567,321,236,2,2,0,6
,22,574,436,126,6,2,0,4
,23,575,345,218,4,0,1,7
,24,717,412,298,2,1,0,4
,25,501,400,94,3,0,0,4
,26,580,344,229,2,1,0,4
,27,89,57,31,1,0,0,0
,28,683,571,101,7,0,1,3
,29,319,248,60,7,2,0,2
,30,667,551,106,6,2,2,0
,31,511,405,98,2,0,1,5
,32,564,314,245,2,1,1,1
,33,599,447,145,4,0,0,3
,34,677,525,130,10,3,1,8
,35,582,451,118,6,0,2,5
,36,148,105,41,2,0,0,0
,37,538,371,151,7,0,3,6
,38,297,218,78,0,0,0,1
,39,364,259,98,5,0,1,1
,40,598,376,213,0,1,0,8
,41,600,391,195,4,1,3,6
,42,591,351,232,1,1,1,5
,43,609,362,237,1,2,0,7
,44,474,293,173,3,0,0,5
,45,515,335,170,3,1,1,5
40,1,570,389,173,4,1,0,3
,2,591,456,130,2,2,0,1
,3,663,571,83,4,2,0,3
,4,371,286,84,0,0,0,1
,5,618,505,105,2,5,0,1
,6,630,551,65,5,2,1,6
,7,538,464,57,6,0,3,8
,8,745,674,61,3,1,2,4
,9,514,385,121,5,1,0,2
,10,658,504,141,3,1,2,7
,11,552,484,55,4,1,0,8
,12,500,433,59,4,2,0,2
,13,825,749,65,4,5,0,2
,14,592,411,172,1,3,0,5
,15,603,459,133,3,5,2,1
,16,740,651,66,7,5,0,11
,17,494,381,106,2,2,2,1
,18,517,428,81,7,1,0,0
,19,700,536,155,4,1,0,4
,20,618,486,120,5,2,2,3
,21,650,581,61,2,0,0,6
,22,684,604,72,3,1,0,4
,23,651,571,66,5,2,2,5
,24,580,398,169,5,3,1,4
