ward,precinct,votes,Biden,Trump,Hawkins,LaRiva,Carroll,Jorgensen
,17,463,440,20,1,0,1,1
,18,490,466,15,5,1,1,2
,19,479,445,26,6,0,1,1
,20,577,542,29,4,1,1,0
,21,522,490,25,4,2,0,1
,22,608,568,31,5,2,0,2
,23,921,856,55,2,0,3,5
,24,644,606,31,3,0,1,3
,25,487,462,17,6,1,0,1
,26,524,495,26,2,1,0,0
,27,551,498,39,5,2,0,7
,28,552,518,27,6,1,0,0
,29,562,539,18,1,2,0,2
,30,353,336,13,0,4,0,0
,31,418,398,17,0,2,0,1
,32,576,547,20,5,2,1,1
,33,589,574,12,2,0,0,1
,34,556,519,30,0,1,1,5
,35,657,616,31,6,2,0,2
,36,358,339,15,2,2,0,0
,37,523,488,26,4,3,0,2
,38,522,499,18,3,1,0,1
,39,433,394,35,0,2,0,2
,40,423,390,22,4,3,1,3
,41,253,244,8,0,0,0,1
6,1,437,424,13,0,0,0,0
,2,427,408,16,2,1,0,0
,3,458,442,15,1,0,0,0
,4,338,320,13,3,1,1,0
,5,307,290,15,2,0,0,0
,6,482,463,14,4,0,0,1
,7,431,414,14,0,2,0,1
,8,425,416,7,1,0,0,1
,9,435,417,12,1,1,1,3
,10,336,318,13,5,0,0,0
,11,357,340,17,0,0,0,0
,12,343,313,25,1,0,1,3
,13,321,308,9,2,2,0,0
,14,398,384,11,1,0,2,0
,15,369,347,19,1,1,1,0
,16,451,432,14,4,0,0,1
,17,320,296,20,2,1,1,0
,18,279,269,5,3,1,0,1
,19,370,355,12,2,0,1,0
,20,271,261,8,1,0,0,1
,21,230,214,11,1,1,3,0
,22,286,266,17,1,0,2,0
,23,260,243,13,2,0,1,1
,24,233,215,13,1,2,1,1
,25,227,216,10,1,0,0,0
,26,348,324,15,3,3,2,1
,27,266,251,11,1,2,1,0
,28,212,201,9,0,1,1,0
,29,416,397,14,2,1,0,2
,30,366,343,16,2,1,0,4
,31,395,380,12,0,1,0,2
,32,408,388,18,1,0,1,0
,33,407,378,25,3,1,0,0
,34,420,415,4,1,0,0,0
,35,392,372,16,1,1,1,1
,36,462,449,10,2,1,0,0
,37,433,406,22,3,0,1,1
,38,443,426,11,4,2,0,0
,39,364,351,12,0,0,1,0
,40,387,375,11,0,1,0,0
,41,417,394,19,1,1,0,2
,42,443,422,13,3,2,0,3
,43,406,386,13,3,3,0,1
,44,502,481,20,0,0,1,0
,45,404,392,10,1,0,0,1
,46,301,294,5,0,0,1,1
,47,326,312,10,2,0,1,1
,48,425,408,14,3,0,0,0
7,1,445,423,17,1,1,0,3
,2,446,416,23,4,2,1,0
,3,412,397,12,0,2,1,0
,4,395,382,9,1,0,1,2
,5,366,337,24,2,0,0,3
,6,527,502,18,4,2,0,1
,7,419,396,20,1,1,1,0
,8,290,274,13,2,0,0,1
,9,690,647,36,2,3,1,1
,10,437,423,9,2,1,0,2
,11,476,456,15,2,2,0,1
,12,426,398,21,5,0,1,1
,13,249,239,8,1,1,0,0
,14,482,451,26,1,2,2,0
,15,372,365,5,1,1,0,0
,16,407,372,28,4,2,1,0
,17,339,323,14,0,1,1,0
